Parent ID,Parent SKU,Product ID,Product SKU,Product Name,Slug,Permalink,Product URL,Description,Excerpt,Product Published,Product Modified,Type,Visibility,Featured,Virtual,Downloadable,Price,Sale Price,Sale Price Dates From,Sale Price Dates To,Weight,Weight Unit,Height,Height Unit,Width,Width Unit,Length,Length Unit,Category,Tag,Featured Image,Tax Status,Tax Class,File Download,Download Limit,Download Expiry,Download Type,Manage Stock,Quantity,Stock Status,Allow Backorders,Sold Individually,Up-Sells,Cross-Sells,External URL,Button Text,Purchase Note,Product Status,Enable Reviews,Sort Order,Attribute: UTILITATE,Attribute: TIP MOBILIER,Attribute: PRET ( Lei ),Attribute: DISPONIBILITATE,Attribute: CULOARE MOBILIER,Attribute: CULOARE PRODUS,Attribute: PENTRU,Attribute: ACCESORII,Attribute: BRANDURI,Attribute: MATERIAL,Attribute: DISCOUNT %
,,4227,113031,Perna Inclinata Bebelusi 30cm,perna-inclinata-bebelusi,http://bebe.wphit.com/magazin/saltele-si-perne/perna-inclinata-bebelusi/,http://bebe.wphit.com/magazin/saltele-si-perne/perna-inclinata-bebelusi/,"<strong>
- Previne riscul de ''cap plat''
- Previne regurgitarea
- Ventilatie perfecta
- Confort optim</strong>",,15/08/2014,25/03/2015,Simple Product,Catalog & Search,No,No,No,100,,,,,,,,,,,,Pentru Patut>Saltele si Perne,,http://bebe.wphit.com/wp-content/uploads/2014/08/PERNA-POZITIONARE-BEBELUS.png,,,,,,Standard,No,,In Stock,No,No,,,,,,Publish,Open,1,,,,,,,,,,,
,,4224,113030,Set Pat Bubu Blu,set-pat-bubu-blu,http://bebe.wphit.com/magazin/protectii-pat/set-pat-bubu-blu/,http://bebe.wphit.com/magazin/protectii-pat/set-pat-bubu-blu/,"<strong>
Setul contine:

- Aparatori pat
- Pilota
- Fata de perna</strong>",,15/08/2014,24/03/2015,Simple Product,Catalog & Search,No,No,No,945,850,,,,,,,,,,,Pentru Patut>Protectii Pat|Pentru Patut>Seturi Lenjerii,,http://bebe.wphit.com/wp-content/uploads/2014/08/bubu_fiocco_blu_tess_1396365478067071300.jpg,,,,,,Standard,No,,In Stock,No,No,,,,,,Publish,Open,4,,,,,,,,,,,
,,4222,113029,Set Pat Bubu Roz,set-pat-bubu-pink,http://bebe.wphit.com/magazin/protectii-pat/set-pat-bubu-pink/,http://bebe.wphit.com/magazin/protectii-pat/set-pat-bubu-pink/,"<strong>
Setul contine:

- Aparatori pat
- Pilota
- Fata de perna</strong>",,15/08/2014,24/03/2015,Simple Product,Catalog & Search,No,No,No,945,850,,,,,,,,,,,Pentru Patut>Protectii Pat|Pentru Patut>Seturi Lenjerii,,http://bebe.wphit.com/wp-content/uploads/2014/08/bubu_fiocco_Rosa_tess_1396365704070859400.jpg,,,,,,Standard,No,,In Stock,No,No,,,,,,Publish,Open,3,,,,,,,,,,,
,,4220,113028,Set Pat Bubu Grey,set-pat-bubu-grey,http://bebe.wphit.com/magazin/protectii-pat/set-pat-bubu-grey/,http://bebe.wphit.com/magazin/protectii-pat/set-pat-bubu-grey/,"<strong>
Setul contine:

- Aparatori pat
- Pilota
- Fata de perna</strong>",,15/08/2014,24/03/2015,Simple Product,Catalog & Search,No,No,No,945,850,,,,,,,,,,,Pentru Patut>Protectii Pat|Pentru Patut>Seturi Lenjerii,,http://bebe.wphit.com/wp-content/uploads/2014/08/bubu_fiocco_grigio_tess_1396365664028415200.jpg,,,,,,Standard,No,,In Stock,No,No,,,,,,Publish,Open,2,,,,,,,,,,,
,,4218,113027,Set Pat Bubu Bleu,set-pat-bubu-bleu,http://bebe.wphit.com/magazin/protectii-pat/set-pat-bubu-bleu/,http://bebe.wphit.com/magazin/protectii-pat/set-pat-bubu-bleu/,"<strong>
Setul contine:

- Aparatori pat
- Pilota
- Fata de perna</strong>",,15/08/2014,24/03/2015,Simple Product,Catalog & Search,No,No,No,945,850,,,,,,,,,,,Pentru Patut>Protectii Pat|Pentru Patut>Seturi Lenjerii,,http://bebe.wphit.com/wp-content/uploads/2014/08/bubu_fiocco_celeste_tess_1396365629090779900.jpg,,,,,,Standard,No,,In Stock,No,No,,,,,,Publish,Open,1,,,,,,,,,,,
,,4216,113026,Tarc bebelusi Blue,tarc-bebelusi-albastru,http://bebe.wphit.com/magazin/fara-categorie/tarc-bebelusi-albastru/,http://bebe.wphit.com/magazin/fara-categorie/tarc-bebelusi-albastru/,"<strong>
Dimensiuni interior: 60 x 120 cm
Dimensiuni exterior: 65 x 125 x 76 cm
Greutate: 9,5 kg</strong>",,14/08/2014,29/10/2014,Simple Product,Catalog & Search,No,No,No,299,,,,,,,,,,,,Uncategorized,,http://bebe.wphit.com/wp-content/uploads/2014/08/TARC-BEBELUSI-BLEU.png,Taxable,,,,,Standard,No,,In Stock,No,No,,,,,,Publish,Open,2,,,,,,,,,,,
,,4213,113025,Tarc bebelusi Red,tarc-bebelusi-rosu,http://bebe.wphit.com/magazin/fara-categorie/tarc-bebelusi-rosu/,http://bebe.wphit.com/magazin/fara-categorie/tarc-bebelusi-rosu/,"<strong>
Dimensiuni interior: 60 x 120 cm
Dimensiuni exterior: 65 x 125 x 76 cm
Greutate: 9,5 kg</strong>",,14/08/2014,29/10/2014,Simple Product,Catalog & Search,No,No,No,299,,,,,,,,,,,,Uncategorized,,http://bebe.wphit.com/wp-content/uploads/2014/08/TARC-BEBELUSI-ROSU.png,Taxable,,,,,Standard,No,,In Stock,No,No,,,,,,Publish,Open,1,,,,,,,,,,,
,,4212,,PROMOTII,promotii-2,http://bebe.wphit.com/magazin/fara-categorie/promotii-2/,http://bebe.wphit.com/magazin/fara-categorie/promotii-2/,,,10/8/2014,23/01/2015,Grouped Product,Catalog & Search,No,No,No,243,,,,,,,,,,,,Uncategorized,,http://bebe.wphit.com/wp-content/uploads/2014/03/PROMOTII-SAVE.png,,,,,,Standard,No,,In Stock,No,No,,,,,,Publish,Open,6,,,,,,,,,,,
,,4210,,ACCESORII NOI,accesorii-noi-2,http://bebe.wphit.com/magazin/fara-categorie/accesorii-noi-2/,http://bebe.wphit.com/magazin/fara-categorie/accesorii-noi-2/,,,10/8/2014,16/01/2015,Grouped Product,Catalog & Search,No,No,No,100,,,,,,,,,,,,Uncategorized,,http://bebe.wphit.com/wp-content/uploads/2014/09/BUZUNAR-LATERAL-PATUT.png,,,,,,Standard,No,,In Stock,No,No,,,,,,Publish,Open,2,,,,,,,,,,,
,,4209,,JUCARII PATUT,jucarii-patut-3,http://bebe.wphit.com/magazin/fara-categorie/jucarii-patut-3/,http://bebe.wphit.com/magazin/fara-categorie/jucarii-patut-3/,,,10/8/2014,16/01/2015,Grouped Product,Catalog & Search,No,No,No,79,,,,,,,,,,,,Uncategorized,,http://bebe.wphit.com/wp-content/uploads/2014/09/CARUSEL-PENTRU-PATUT-DE-BEBELUSI.png,,,,,,Standard,No,,In Stock,No,No,,,,,,Publish,Open,4,,,,,,,,,,,
