product_content,product_name,product_slug,product_category,product_tag,visibility,featured_image,stock_status,regular_price,sku,upsell_ids,crosssell_ids,sale_price_dates_from,sale_price_dates_to,price,sold_individually
"<strong>Dimensiuni:

L 131 cm
P 71 cm
H 104 cm</strong>",Patut Chic Avorio,patut-chic-avorio,Patuturi,,1,http://www.camerabebelusului.ro/wp-content/uploads/2014/06/PAT-BEBELUSI-CHIC-ERBESI-ITALIA-CREM.png,In stoc,1277,112561,,,,,,1161
"<strong>Dimensiuni:

L 81 cm
P 48 cm
H 100,5 cm</strong>",Comoda Chic Avorio,comoda-chic-avorio,Comode,,1,http://www.camerabebelusului.ro/wp-content/uploads/2014/06/COMODA-BEBELUSI-CHIC-ITALIA-CREM.png,In stoc,1079,112562,,,,,,981
"<strong>Dimensiuni:

L 133,5 cm
P 79,5 cm
H 120 cm</strong>",Patut Crystal Avorio,patut-crystal-avorio,Patuturi,,1,http://www.camerabebelusului.ro/wp-content/uploads/2014/06/PATUT-BEBELUSI-CRYSTAL-ERBESI-ITALIA-AVORIO.png,In stoc,3163,112563,,,,,,2876
"<strong>Dimensiuni:

L 81 cm
P 48 cm
H 100,5 cm</strong>",Comoda Crystal Avorio,comoda-crystal-avorio,Comode,,1,http://www.camerabebelusului.ro/wp-content/uploads/2014/06/COMODA-BEBELUSI-CRYSTAL-ERBESI-ITALIA.png,In stoc,1896,112564,,,,,,1724
"<strong>Dimensiuni:

L 93,5 cm
P 73 cm
H 96 cm</strong>",Cabinet Crystal Avorio,cabinet-crystal-avorio,Comode,,1,http://www.camerabebelusului.ro/wp-content/uploads/2014/06/CABINET-BEBELUSI-CRYSTAL-ERBESI-ITALIA-AVORIO.png,In stoc,2385,112565,,,,,,2167
"<strong>Dimensiuni:

L 94 cm
P 55 cm
H 175 cm</strong>",Dulap Crystal Avorio,dulap-crystal-avorio,Dulapuri,,1,http://www.camerabebelusului.ro/wp-content/uploads/2014/06/DULAP-BEBELUSI-CRYSTAL-ERBESI-ITALIA-AVORIO.png,In stoc,3366,112566,,,,,,3060
"<strong>Dimensiuni:

L 52,5 cm
P 41,5 cm
H 172 cm</strong>",Etajera Crystal Avorio,librarie-crystal-avorio,Mobilier Erbesi,,1,http://www.camerabebelusului.ro/wp-content/uploads/2014/06/LIBRARIE-BEBELUSI-ERBESI-ITALIA-CREM.png,In stoc,1421,112567,,,,,,1292
"<strong>Dimensiuni

L 78,5 cm
P 46,5 cm
H 46 cm</strong>",Cufar Crystal Bianco,cufar-crystal-bianco,Mobilier Erbesi,,1,http://www.camerabebelusului.ro/wp-content/uploads/2014/06/CUFAR-BEBELUSI-CRYSTAL-ERBESI-ITALIA-ALB.png,In stoc,1249,1125667,,,,,,1134
"<strong>Dimensiuni

L 78,5 cm
P 46,5 cm
H 46 cm</strong>",Cufar Crystal Avorio,cufar-crystal-avorio,Mobilier Erbesi,,1,http://www.camerabebelusului.ro/wp-content/uploads/2014/06/CUFAR-BEBELUSI-CRYSTAL-ERBESI-ITALIA-AVORIO.png,In stoc,1249,112668,,,,,,1134
"<strong>Dimensiuni: 

L 131 cm
P 71 cm
H 104 cm</strong>",Patut Tippy Avorio,patut-tippy-avorio,Colectia Tippy|Patuturi,,1,http://www.camerabebelusului.ro/wp-content/uploads/2014/06/PAT-BEBELUSI-TIPPY-ERBESI-ITALIA-CREM.png,In stoc,1178,112568,,,,,,1071
